experiment_type,model_name,preprocessing,accuracy,precision,recall,f1_score,roc_auc,dataset,notes,experiment_id,timestamp
traditional_nlp,Logistic Regression,original,0.9439228939792216,0.930858806404658,0.95925,0.9448411721250924,0.9876984206568062,fake_news,TF-IDF with original processing,tr_lr_20250902_231836,2025-09-02T23:18:36.927944
traditional_nlp,Random Forest,original,0.9336587808236324,0.928606719367589,0.93975,0.934145129224652,0.9827085109049888,fake_news,TF-IDF with original processing,tr_rf_20250902_231837,2025-09-02T23:18:37.577347
traditional_nlp,SVM,original,0.94955563900363,0.9402692778457772,0.96025,0.9501546072974644,0.9888736212083228,fake_news,TF-IDF with original processing,tr_s_20250902_231841,2025-09-02T23:18:41.886275
traditional_nlp,Naive Bayes,original,0.9330329202653648,0.9400558801117602,0.92525,0.932594179160892,0.9831208949611432,fake_news,TF-IDF with original processing,tr_nb_20250902_231841,2025-09-02T23:18:41.949688
traditional_nlp,Logistic Regression,stemmed,0.9444235824258356,0.9317629917435648,0.95925,0.9453067257945308,0.987024943594886,fake_news,TF-IDF with stemmed processing,tr_lr_20250902_231842,2025-09-02T23:18:42.792748
traditional_nlp,Random Forest,stemmed,0.930654650143948,0.9260633036597428,0.93625,0.9311287916459472,0.980929462271246,fake_news,TF-IDF with stemmed processing,tr_rf_20250902_231844,2025-09-02T23:18:44.102883
traditional_nlp,SVM,stemmed,0.946426336212292,0.937102300538424,0.95725,0.9470690081622556,0.9879091250940084,fake_news,TF-IDF with stemmed processing,tr_s_20250902_231849,2025-09-02T23:18:49.561800
traditional_nlp,Naive Bayes,stemmed,0.9310301664789083,0.9369141119837852,0.9245,0.9306656599974832,0.9813856229631486,fake_news,TF-IDF with stemmed processing,tr_nb_20250902_231850,2025-09-02T23:18:50.396857
traditional_nlp,Logistic Regression,lemmatized,0.9425460007510328,0.930255164034022,0.957,0.9434380776340112,0.9865396715968916,fake_news,TF-IDF with lemmatized processing,tr_lr_20250902_231850,2025-09-02T23:18:50.805605
traditional_nlp,Random Forest,lemmatized,0.9277756915759168,0.9218634458959822,0.935,0.9283852550577136,0.9795888067184758,fake_news,TF-IDF with lemmatized processing,tr_rf_20250902_231851,2025-09-02T23:18:51.723792
traditional_nlp,SVM,lemmatized,0.9476780573288272,0.936829268292683,0.96025,0.948395061728395,0.98753042742542,fake_news,TF-IDF with lemmatized processing,tr_s_20250902_231856,2025-09-02T23:18:56.579229
traditional_nlp,Naive Bayes,lemmatized,0.9300287895856804,0.9361216730038024,0.92325,0.9296412838263058,0.981878854349461,fake_news,TF-IDF with lemmatized processing,tr_nb_20250902_231856,2025-09-02T23:18:56.995133
sentence_transformers,Logistic Regression,basic_cleaning,0.9304043059206408,0.9233038348082596,0.939,0.9310857709469508,0.9823143645023816,fake_news,Used all-MiniLM-L6-v2 embeddings,se_lr_20250902_233305,2025-09-02T23:33:05.852308
sentence_transformers,Random Forest,basic_cleaning,0.918012266866942,0.9027209246327956,0.93725,0.9196614743039372,0.97703644397092,fake_news,Used all-MiniLM-L6-v2 embeddings,se_rf_20250902_233306,2025-09-02T23:33:06.152162
sentence_transformers,SVM,basic_cleaning,0.938790837401427,0.9280663252865154,0.9515,0.939637081841748,0.9842270305841064,fake_news,Used all-MiniLM-L6-v2 embeddings,se_s_20250902_233312,2025-09-02T23:33:12.407693
sentence_transformers,SVM,aggressive,0.955313556139692,0.9496420636879784,0.96175,0.9556576822754936,0.9907214214088744,fake_news,Features: ['clean_text'],se_s_20250903_131104,2025-09-03T13:11:04.602249
sentence_transformers,SVM,basic,0.9494304668919764,0.945049504950495,0.9545,0.9497512437810944,0.988688079719228,fake_news,Features: ['clean_text'],se_s_20250903_131947,2025-09-03T13:19:47.484643
sentence_transformers,SVM,basic,0.946426336212292,0.9422981674096088,0.95125,0.946752923612839,0.9873550388568564,fake_news,"Features: ['clean_title', 'clean_text', 'is_recent', 'is_medium_age', 'is_old']",se_s_20250903_132915,2025-09-03T13:29:15.121920
sentence_transformers,XGBoost,aggressive,0.9395418700713482,0.9373290226311862,0.94225,0.9397830694427128,0.9848779769365756,fake_news,Features: ['clean_text'],se_x_20250903_170808,2025-09-03T17:08:08.360376
sentence_transformers,LightGBM,aggressive,0.9370384278382776,0.930558975621768,0.94475,0.9376007939461604,0.9829312484331914,fake_news,Features: ['clean_text'],se_l_20250903_170810,2025-09-03T17:08:10.383454
sentence_transformers,LightGBM,aggressive,0.9370384278382776,0.930558975621768,0.94475,0.9376007939461604,0.9829312484331914,fake_news,Features: ['clean_text'],se_l_20250903_172219,2025-09-03T17:22:19.929953
sentence_transformers,SVC,aggressive,0.955313556139692,0.9496420636879784,0.96175,0.9556576822754936,0.9907214214088744,fake_news,Features: ['clean_text'],se_s_20250903_191402,2025-09-03T19:14:02.487421
sentence_transformers,SVC,aggressive,0.9540618350231568,0.9473036197980792,0.96175,0.9544721498573376,0.9902278139884684,fake_news,"Features: ['clean_text', 'title_length', 'title_word_count', 'text_length', 'text_word_count']",se_s_20250903_195414,2025-09-03T19:54:14.666084
sentence_transformers,SVC,aggressive,0.954812867693078,0.9480423540999754,0.9625,0.9552164743828307,0.9903468914514916,fake_news,"Features: ['clean_text', 'year', 'quarter', 'is_weekend']",se_s_20250903_202343,2025-09-03T20:23:43.427192
sentence_transformers,SVC,aggressive,0.9541870071348104,0.9468765371372356,0.9625,0.954624349119762,0.9903687014289296,fake_news,"Features: ['clean_text', 'title_length', 'title_word_count', 'text_length', 'text_word_count', 'year', 'quarter', 'is_weekend']",se_s_20250903_204847,2025-09-03T20:48:47.182644
sentence_transformers,SVC,aggressive,0.8874702716234822,0.8703128731788871,0.911,0.8901917674361793,0.9536218977187264,fake_news,"Features: ['title_length', 'title_word_count', 'text_length', 'text_word_count', 'year', 'quarter', 'is_weekend']",se_s_20250903_205733,2025-09-03T20:57:33.017671
sentence_transformers,SVC,aggressive,0.8874702716234822,0.8703128731788871,0.911,0.8901917674361793,0.9536218977187265,fake_news,"Features: ['title_length', 'title_word_count', 'text_length', 'text_word_count', 'year', 'quarter', 'is_weekend']",se_s_20250903_210300,2025-09-03T21:03:00.697856
